ip,port,country_code,country_name,city,region,asn,asn_name,org,protocols,anonymity,uptime,delay_ms,last_seen
185.162.228.205,80,AM,Armenia,,,,,,HTTP,Anonymous,90,20,2026-07-12T05:32:04Z
185.162.228.218,80,AM,Armenia,,,,,,HTTP,Anonymous,90,20,2026-07-12T05:32:04Z
185.162.230.9,80,AM,Armenia,,,,,,HTTP,Anonymous,85,20,2026-07-12T05:32:04Z
185.162.230.123,80,AM,Armenia,,,,,,HTTP,Anonymous,90,20,2026-07-12T05:32:03Z
185.162.228.237,80,AM,Armenia,,,,,,HTTP,Anonymous,89,20,2026-07-12T05:32:03Z
185.162.229.99,80,AM,Armenia,,,,,,HTTP,Anonymous,91,20,2026-07-12T05:32:03Z
185.162.231.130,80,AM,Armenia,,,,,,HTTP,Anonymous,90,20,2026-07-12T05:32:03Z
185.162.228.140,80,AM,Armenia,,,,,,HTTP,Anonymous,90,20,2026-07-12T05:32:03Z
185.162.228.251,80,AM,Armenia,,,,,,HTTP,Anonymous,91,20,2026-07-12T05:32:03Z
185.162.228.20,80,AM,Armenia,,,,,,HTTP,Anonymous,90,20,2026-07-12T05:32:03Z
185.162.228.110,80,AM,Armenia,,,,,,HTTP,Anonymous,90,20,2026-07-12T05:32:03Z
185.162.230.220,80,AM,Armenia,,,,,,HTTP,Anonymous,90,20,2026-07-12T05:32:03Z
